,start_station_name,start_station_longitude,start_station_latitude,ride_start_date
180,Henry St & Grand St,-73.981346,40.714215,71
181,Henry St & Poplar St,-73.991454,40.700469,36
182,Hicks St & Montague St,-73.99595065,40.69512845,67
183,Howard St & Centre St,-73.99973337,40.71910537,163
184,Hudson St & Reade St,-74.0091059,40.71625008,108
185,Jay St & Tech Pl,-73.987167,40.695065,18
186,John St & William St,-74.00722156,40.70862144,85
187,Johnson St & Gold St,-73.98362464,40.69474881,52
188,Joralemon St & Adams St,-73.98963911,40.69246277,92
189,Kent Ave & S 11 St,-73.96834101,40.70827295,24
190,LaGuardia Pl & W 3 St,-73.99810231,40.72917025,195
191,Lafayette Ave & Classon Ave,-73.96023854,40.68900443,31
192,Lafayette Ave & Fort Greene Pl,-73.976682,40.68691865,34
193,Lafayette Ave & St James Pl,-73.9647628,40.68851534,25
194,Lafayette St & E 8 St,-73.9907647,40.73028666,446
195,Lafayette St & Jersey St,-73.99565293,40.72456089,89
196,Laight St & Hudson St,-74.00771779,40.72185379,33
197,Lawrence St & Willoughby St,-73.98631746,40.69236178,219
198,Lefferts Pl & Franklin Ave,-73.9557689392,40.680342423,34
199,Lexington Ave & Classon Ave,-73.95928168,40.68676793,22
200,Lexington Ave & E 24 St,-73.98409214,40.74025878,254
201,Lexington Ave & E 26 St,-73.98320928,40.74147286,224
202,Liberty St & Broadway,-74.01043382,40.70905623,149
203,Lispenard St & Broadway,-74.00247214,40.71939226,107
204,Little West St & 1 Pl,-74.01677685,40.70569254,89
205,MacDougal St & Prince St,-74.00297088,40.72710258,254
206,MacDougal St & Washington Sq,-73.99852205,40.73226398,123
207,Macon St & Nostrand Ave,-73.9500479759,40.6809833854,21
208,Madison St & Clinton St,-73.98776323,40.71269042,50
209,Madison St & Montgomery St,-73.984844,40.713126,64
210,Maiden Ln & Pearl St,-74.00731853,40.70706456,131
211,Market St & Cherry St,-73.99400398,40.71076228,36
212,Mercer St & Bleecker St,-73.99695094,40.72679454,204
213,Mercer St & Spring St,-73.99949601,40.72362738,147
214,Metropolitan Ave & Bedford Ave,-73.96024116,40.71534825,71
215,Monroe St & Bedford Ave,-73.95380904,40.6851443,18
216,Monroe St & Classon Ave,-73.95881081,40.6845683,15
217,Montague St & Clinton St,-73.99215922,40.69424674,56
218,Mott St & Prince St,-73.99480012,40.72317958,194
219,Murray St & West St,-74.013012,40.7149787,88
220,Myrtle Ave & St Edwards St,-73.97703874,40.69327018,19
221,Nassau St & Navy St,-73.98068914,40.69839895,12
222,Norfolk St & Broome St,-73.98802084,40.7172274,112
223,Old Fulton St,-73.99383605,40.70277159,43
224,Old Slip & Front St,-74.00838676,40.7037992,46
225,Park Ave & St Edwards St,-73.97803415,40.69608941,7
226,Park Pl & Church St,-74.00937622,40.71336124,133
227,Pearl St & Anchorage Pl,-73.98765762,40.70281858,63
228,Pearl St & Hanover Square,-74.00926027,40.7047177,93
229,Perry St & Bleecker St,-74.00483091,40.73535398,119
230,Pershing Square N,-73.97770164,40.75188406,451
231,Pershing Square S,-73.97798848,40.75149263,255
232,Pike St & E Broadway,-73.99293911,40.71406667,62
